id_carro,nome_modelo,ano,nome_marca,litros,tipo_combustivel,tipo_cambio,preco,quilometragem,proprietarios,portas
55,Optima,2005,Kia,32,Electric,Manual,13538,88070,5,2
56,3 Series,2017,BMW,29,Electric,Semi-Automatic,6679,281020,5,5
57,Impala,2017,Chevrolet,18,Diesel,Semi-Automatic,10556,22175,2,5
58,Passat,2008,Volkswagen,20,Electric,Manual,3245,287728,3,3
59,Sonata,2007,Hyundai,36,Electric,Automatic,11241,102907,3,3
60,Civic,2010,Honda,24,Petrol,Automatic,8293,60316,5,3
61,Camry,2007,Toyota,13,Petrol,Automatic,5538,188097,2,4
62,Fiesta,2017,Ford,40,Diesel,Automatic,9093,85348,3,2
63,Focus,2004,Ford,48,Electric,Automatic,14887,100603,2,3
64,C-Class,2007,Mercedes,27,Hybrid,Manual,6953,147310,2,5
65,GLA,2020,Mercedes,40,Diesel,Manual,8594,140263,5,4
66,Passat,2008,Volkswagen,32,Electric,Semi-Automatic,7689,155550,4,3
67,Golf,2003,Volkswagen,40,Hybrid,Manual,4355,237232,5,3
68,Fiesta,2017,Ford,40,Hybrid,Semi-Automatic,4252,272351,3,2
69,Optima,2005,Kia,46,Petrol,Manual,7802,164879,4,2
70,Tucson,2007,Hyundai,28,Petrol,Manual,9093,160349,3,4
71,Elantra,2004,Hyundai,15,Diesel,Manual,7084,30793,1,2
72,3 Series,2017,BMW,19,Electric,Automatic,15065,6745,1,5
73,Camry,2007,Toyota,49,Hybrid,Manual,11635,23217,4,4
74,Sportage,2001,Kia,27,Hybrid,Automatic,9550,242456,5,2
75,Sonata,2007,Hyundai,13,Hybrid,Automatic,9957,152123,5,3
76,CR-V,2007,Honda,34,Diesel,Automatic,10622,248894,2,3
77,GLA,2020,Mercedes,23,Electric,Manual,8970,76458,5,4
78,X5,2017,BMW,39,Hybrid,Semi-Automatic,14059,2020,2,3
79,Sonata,2007,Hyundai,20,Hybrid,Automatic,11568,121567,4,3
80,Golf,2003,Volkswagen,35,Petrol,Semi-Automatic,11710,139477,5,3
81,Fiesta,2017,Ford,45,Electric,Manual,11638,53088,2,2
82,Tiguan,2006,Volkswagen,17,Petrol,Automatic,9388,195565,5,2
83,A4,2004,Audi,48,Hybrid,Semi-Automatic,8263,141850,2,2
84,Civic,2010,Honda,46,Petrol,Manual,10872,191397,4,3
85,Tucson,2007,Hyundai,16,Electric,Manual,7009,259533,4,4
86,C-Class,2007,Mercedes,41,Petrol,Automatic,10255,197249,1,5
87,Passat,2008,Volkswagen,38,Electric,Manual,6547,272609,5,3
88,Focus,2004,Ford,11,Diesel,Manual,3209,294516,1,3
89,Sportage,2001,Kia,29,Diesel,Manual,2123,258813,5,2
90,Corolla,2010,Toyota,41,Petrol,Automatic,13558,17100,5,4
91,Optima,2005,Kia,46,Diesel,Manual,9853,197307,1,2
92,X5,2017,BMW,42,Petrol,Automatic,9302,129851,4,3
93,E-Class,2004,Mercedes,18,Diesel,Semi-Automatic,3975,261247,4,3
94,Q5,2023,Audi,25,Electric,Semi-Automatic,10962,121855,5,2
95,3 Series,2017,BMW,26,Petrol,Manual,7841,107928,2,5
96,Passat,2008,Volkswagen,47,Petrol,Automatic,9520,203960,3,3
97,5 Series,2013,BMW,30,Electric,Manual,11454,17260,5,2
98,A3,2022,Audi,38,Electric,Semi-Automatic,10997,275109,5,5
99,Corolla,2010,Toyota,28,Hybrid,Semi-Automatic,8633,203314,3,4
100,Corolla,2010,Toyota,28,Hybrid,Automatic,9795,190214,2,4
101,Explorer,2006,Ford,50,Electric,Automatic,12736,188195,3,4
102,A4,2004,Audi,20,Hybrid,Manual,5535,228204,4,2
103,5 Series,2013,BMW,23,Diesel,Semi-Automatic,5374,66264,1,2
104,Camry,2007,Toyota,45,Electric,Semi-Automatic,13946,162696,2,4
105,Malibu,2012,Chevrolet,22,Diesel,Manual,3970,191462,4,2
106,Accord,2001,Honda,40,Diesel,Manual,8220,8958,1,5
107,Elantra,2004,Hyundai,26,Hybrid,Manual,11075,11213,5,2
108,Accord,2001,Honda,38,Electric,Semi-Automatic,6079,236022,2,5
109,Equinox,2018,Chevrolet,39,Hybrid,Semi-Automatic,14433,13333,1,2
110,C-Class,2007,Mercedes,46,Electric,Semi-Automatic,12117,274137,3,5
111,Passat,2008,Volkswagen,34,Diesel,Manual,10326,8662,3,3
112,3 Series,2017,BMW,23,Electric,Semi-Automatic,11815,99243,3,5
113,Fiesta,2017,Ford,35,Hybrid,Semi-Automatic,9143,167809,3,2
114,CR-V,2007,Honda,30,Hybrid,Semi-Automatic,9881,180938,3,3
115,C-Class,2007,Mercedes,40,Petrol,Manual,12173,66347,2,5
116,Civic,2010,Honda,14,Petrol,Manual,2019,279031,3,3
117,Equinox,2018,Chevrolet,28,Petrol,Manual,9531,63430,5,2
118,3 Series,2017,BMW,21,Petrol,Manual,6565,191744,1,5
119,E-Class,2004,Mercedes,39,Hybrid,Semi-Automatic,14737,58107,2,3
120,X5,2017,BMW,45,Diesel,Manual,7464,86763,5,3
121,Golf,2003,Volkswagen,38,Diesel,Automatic,10249,257521,3,3
122,Corolla,2010,Toyota,40,Diesel,Manual,7738,213052,4,4
123,3 Series,2017,BMW,19,Petrol,Semi-Automatic,8741,117943,4,5
124,Tiguan,2006,Volkswagen,45,Electric,Semi-Automatic,9423,178837,4,2
125,Corolla,2010,Toyota,39,Diesel,Semi-Automatic,2967,281616,3,4
126,Malibu,2012,Chevrolet,14,Diesel,Automatic,8270,131485,5,2
127,A4,2004,Audi,39,Electric,Manual,13472,21399,3,2
128,C-Class,2007,Mercedes,37,Petrol,Semi-Automatic,10830,148489,5,5
129,Equinox,2018,Chevrolet,31,Electric,Manual,10512,189399,4,2
130,Tiguan,2006,Volkswagen,35,Petrol,Semi-Automatic,6417,179107,3,2
131,Passat,2008,Volkswagen,47,Diesel,Manual,8892,220366,1,3
132,Optima,2005,Kia,47,Petrol,Manual,12156,132200,1,2
133,Impala,2017,Chevrolet,18,Diesel,Automatic,7075,151249,1,5
134,Impala,2017,Chevrolet,20,Petrol,Manual,5106,184695,1,5
135,Golf,2003,Volkswagen,41,Petrol,Automatic,9347,32602,4,3
136,A3,2022,Audi,32,Electric,Manual,8127,253611,4,5
137,RAV4,2005,Toyota,43,Hybrid,Manual,11655,187223,3,2
138,E-Class,2004,Mercedes,30,Hybrid,Manual,4651,232438,3,3
139,Camry,2007,Toyota,47,Petrol,Manual,12217,114139,4,4
140,RAV4,2005,Toyota,13,Electric,Automatic,8511,79437,4,2
141,Accord,2001,Honda,22,Diesel,Manual,9443,127801,5,5
142,Camry,2007,Toyota,15,Petrol,Automatic,7237,23115,1,4
143,Optima,2005,Kia,39,Petrol,Automatic,11961,26930,3,2
144,RAV4,2005,Toyota,21,Petrol,Manual,6700,289967,3,2
145,Focus,2004,Ford,32,Petrol,Manual,6758,42064,3,3
146,Sonata,2007,Hyundai,35,Electric,Manual,10327,233614,2,3
147,Explorer,2006,Ford,41,Electric,Automatic,17258,67072,3,4
148,X5,2017,BMW,25,Electric,Manual,8572,256380,1,3
149,C-Class,2007,Mercedes,19,Petrol,Semi-Automatic,5809,159546,4,5
150,E-Class,2004,Mercedes,38,Electric,Semi-Automatic,13982,5877,5,3
151,Tucson,2007,Hyundai,49,Hybrid,Automatic,11435,33244,2,4
152,Impala,2017,Chevrolet,48,Petrol,Manual,8672,206381,4,5
153,Civic,2010,Honda,40,Diesel,Automatic,10883,175833,5,3
154,Tucson,2007,Hyundai,36,Petrol,Semi-Automatic,6058,157073,1,4
155,3 Series,2017,BMW,29,Electric,Automatic,12364,131766,3,5
156,Explorer,2006,Ford,22,Petrol,Manual,6227,18630,5,4
157,A4,2004,Audi,21,Diesel,Automatic,11109,54522,5,2
158,GLA,2020,Mercedes,14,Electric,Semi-Automatic,6774,231290,3,4
159,Optima,2005,Kia,37,Electric,Manual,6464,166776,2,2
160,A3,2022,Audi,40,Diesel,Manual,8373,16302,2,5
161,Q5,2023,Audi,29,Hybrid,Semi-Automatic,7443,252824,1,2
162,Sportage,2001,Kia,12,Hybrid,Automatic,4507,269614,4,2
163,Sportage,2001,Kia,28,Electric,Semi-Automatic,3606,264697,5,2
164,CR-V,2007,Honda,40,Petrol,Manual,6541,287926,2,3
165,A3,2022,Audi,18,Petrol,Automatic,6836,43196,2,5
166,RAV4,2005,Toyota,45,Diesel,Semi-Automatic,3300,279971,1,2
167,Sonata,2007,Hyundai,10,Petrol,Manual,2065,286745,5,3
168,C-Class,2007,Mercedes,23,Electric,Semi-Automatic,11682,885,2,5
169,Civic,2010,Honda,35,Hybrid,Semi-Automatic,10634,93273,4,3
170,X5,2017,BMW,37,Diesel,Semi-Automatic,6781,110947,2,3
171,CR-V,2007,Honda,12,Petrol,Manual,7363,166808,2,3
172,Q5,2023,Audi,38,Diesel,Automatic,12279,186035,3,2
173,Fiesta,2017,Ford,10,Hybrid,Semi-Automatic,6223,68819,3,2
174,Impala,2017,Chevrolet,37,Petrol,Semi-Automatic,10056,157181,2,5
175,C-Class,2007,Mercedes,39,Petrol,Semi-Automatic,8153,97350,3,5
176,Passat,2008,Volkswagen,35,Diesel,Manual,6970,271497,4,3
177,RAV4,2005,Toyota,43,Electric,Semi-Automatic,9790,225452,5,2
178,Optima,2005,Kia,38,Petrol,Automatic,11379,51040,2,2
179,Golf,2003,Volkswagen,42,Electric,Semi-Automatic,13749,7544,5,3
180,Equinox,2018,Chevrolet,26,Hybrid,Semi-Automatic,5111,264411,1,2
181,X5,2017,BMW,43,Petrol,Manual,8921,153919,2,3
182,CR-V,2007,Honda,17,Petrol,Manual,6493,115344,5,3
183,Rio,2020,Kia,29,Diesel,Semi-Automatic,7564,106781,2,3
184,Sonata,2007,Hyundai,10,Petrol,Manual,2809,279545,3,3
185,Sonata,2007,Hyundai,17,Petrol,Manual,11564,11757,1,3
186,Q5,2023,Audi,24,Petrol,Semi-Automatic,6084,230787,1,2
187,Elantra,2004,Hyundai,37,Hybrid,Automatic,11970,216478,1,2
188,C-Class,2007,Mercedes,26,Diesel,Semi-Automatic,4908,134567,2,5
189,C-Class,2007,Mercedes,45,Electric,Manual,9142,162852,3,5
190,3 Series,2017,BMW,39,Hybrid,Semi-Automatic,13650,112480,2,5
191,Optima,2005,Kia,19,Electric,Automatic,13384,60780,1,2
192,CR-V,2007,Honda,32,Diesel,Automatic,11969,21520,4,3
193,5 Series,2013,BMW,21,Diesel,Automatic,8819,199006,3,2
194,Equinox,2018,Chevrolet,20,Hybrid,Automatic,10168,11585,4,2
195,Equinox,2018,Chevrolet,28,Electric,Manual,10000,79962,2,2
196,Golf,2003,Volkswagen,39,Electric,Automatic,13789,95537,2,3
197,GLA,2020,Mercedes,43,Diesel,Manual,10102,229873,2,4
198,RAV4,2005,Toyota,13,Hybrid,Manual,4297,195129,5,2
199,Impala,2017,Chevrolet,40,Hybrid,Automatic,11161,136926,1,5
200,Focus,2004,Ford,32,Petrol,Semi-Automatic,6499,85005,1,3
201,A4,2004,Audi,27,Electric,Automatic,11955,172248,2,2
202,Golf,2003,Volkswagen,43,Petrol,Automatic,11409,179528,5,3
203,Sonata,2007,Hyundai,23,Electric,Manual,12564,1752,2,3
204,GLA,2020,Mercedes,32,Electric,Manual,11188,25557,4,4
205,5 Series,2013,BMW,39,Hybrid,Automatic,8376,211162,5,2
206,A3,2022,Audi,40,Petrol,Automatic,10152,182364,5,5
207,Sonata,2007,Hyundai,16,Petrol,Automatic,7941,112946,5,3
208,Focus,2004,Ford,21,Petrol,Automatic,7958,122067,4,3
209,RAV4,2005,Toyota,35,Electric,Semi-Automatic,6065,296747,1,2
210,5 Series,2013,BMW,28,Petrol,Semi-Automatic,11825,23722,5,2
211,Elantra,2004,Hyundai,18,Petrol,Manual,2670,161487,5,2
212,Focus,2004,Ford,41,Petrol,Automatic,10408,99562,2,3
213,Optima,2005,Kia,19,Electric,Manual,11252,107386,4,2
214,Golf,2003,Volkswagen,40,Diesel,Automatic,15240,32991,3,3
215,A3,2022,Audi,17,Diesel,Manual,7761,156940,2,5
216,Camry,2007,Toyota,22,Diesel,Manual,6651,87444,4,4
217,5 Series,2013,BMW,14,Petrol,Manual,3559,232049,2,2
218,Focus,2004,Ford,12,Hybrid,Automatic,8206,114668,4,3
219,Camry,2007,Toyota,48,Electric,Semi-Automatic,10056,297176,2,4
220,Sonata,2007,Hyundai,41,Hybrid,Semi-Automatic,9720,138965,4,3
221,Tiguan,2006,Volkswagen,44,Petrol,Automatic,6762,251894,4,2
222,Corolla,2010,Toyota,28,Diesel,Semi-Automatic,5208,174551,5,4
223,5 Series,2013,BMW,30,Petrol,Automatic,6696,260151,1,2
224,Malibu,2012,Chevrolet,28,Petrol,Manual,3632,253372,4,2
225,GLA,2020,Mercedes,19,Hybrid,Manual,8008,99563,5,4
226,Fiesta,2017,Ford,39,Electric,Automatic,10341,267949,2,2
227,X5,2017,BMW,46,Diesel,Manual,10106,79663,5,3
228,RAV4,2005,Toyota,35,Electric,Automatic,13287,85640,4,2
229,E-Class,2004,Mercedes,44,Hybrid,Automatic,11261,1937,4,3
230,Fiesta,2017,Ford,32,Petrol,Automatic,7933,253316,5,2
231,E-Class,2004,Mercedes,32,Diesel,Semi-Automatic,5330,203452,4,3
232,Elantra,2004,Hyundai,42,Electric,Manual,13268,181600,3,2
233,X5,2017,BMW,29,Petrol,Manual,2000,296864,2,3
234,Sportage,2001,Kia,14,Hybrid,Semi-Automatic,5447,262641,1,2
235,Q5,2023,Audi,47,Electric,Automatic,14760,222000,3,2
236,Focus,2004,Ford,46,Petrol,Automatic,10039,98002,4,3
237,Sportage,2001,Kia,34,Hybrid,Manual,5861,131933,1,2
238,X5,2017,BMW,46,Diesel,Manual,3259,287045,4,3
239,Malibu,2012,Chevrolet,25,Petrol,Semi-Automatic,4680,215987,3,2
240,CR-V,2007,Honda,28,Diesel,Manual,5571,201403,5,3
241,3 Series,2017,BMW,39,Petrol,Manual,9038,263073,3,5
242,A3,2022,Audi,44,Diesel,Semi-Automatic,12960,91956,2,5
243,Sportage,2001,Kia,13,Hybrid,Manual,8741,197902,5,2
244,RAV4,2005,Toyota,10,Diesel,Automatic,6250,107474,5,2
245,5 Series,2013,BMW,11,Diesel,Automatic,6439,178039,1,2
246,5 Series,2013,BMW,40,Electric,Automatic,12607,84645,2,2
247,Optima,2005,Kia,41,Hybrid,Semi-Automatic,12829,118504,4,2
248,Accord,2001,Honda,27,Petrol,Manual,5155,217224,5,5
249,Camry,2007,Toyota,26,Petrol,Automatic,6439,118041,4,4
250,A4,2004,Audi,43,Diesel,Semi-Automatic,10660,186962,5,2
251,GLA,2020,Mercedes,13,Electric,Semi-Automatic,12720,78961,2,4
252,GLA,2020,Mercedes,10,Hybrid,Manual,3176,296156,1,4
253,RAV4,2005,Toyota,20,Petrol,Automatic,8658,232074,5,2
254,Explorer,2006,Ford,23,Electric,Manual,7929,38542,2,4
255,X5,2017,BMW,29,Diesel,Automatic,5598,295058,1,3
256,Camry,2007,Toyota,22,Hybrid,Manual,5954,262285,4,4
257,Explorer,2006,Ford,39,Electric,Semi-Automatic,7883,225838,3,4
258,Equinox,2018,Chevrolet,30,Hybrid,Automatic,11884,230795,4,2
259,Malibu,2012,Chevrolet,25,Petrol,Manual,7105,94729,3,2
260,C-Class,2007,Mercedes,31,Petrol,Automatic,9656,282199,2,5
261,A3,2022,Audi,26,Diesel,Automatic,4351,282423,5,5
262,C-Class,2007,Mercedes,40,Diesel,Manual,5462,191859,5,5
263,Fiesta,2017,Ford,22,Hybrid,Automatic,4870,256459,5,2
264,Sportage,2001,Kia,21,Electric,Semi-Automatic,13017,74107,4,2
265,Golf,2003,Volkswagen,39,Petrol,Manual,9080,230974,3,3
266,5 Series,2013,BMW,17,Petrol,Manual,9477,56150,1,2
267,C-Class,2007,Mercedes,47,Diesel,Semi-Automatic,6678,256100,2,5
268,Golf,2003,Volkswagen,27,Hybrid,Automatic,10909,9512,1,3
269,A3,2022,Audi,48,Petrol,Automatic,12095,80241,3,5
270,A4,2004,Audi,47,Diesel,Semi-Automatic,12085,150713,4,2
271,Q5,2023,Audi,17,Electric,Semi-Automatic,9059,207019,3,2
272,A3,2022,Audi,32,Petrol,Semi-Automatic,10939,163039,3,5
273,Corolla,2010,Toyota,20,Diesel,Manual,3197,145101,5,4
274,Focus,2004,Ford,14,Petrol,Semi-Automatic,4728,278559,4,3
275,Elantra,2004,Hyundai,42,Diesel,Automatic,9516,269154,2,2
276,Sportage,2001,Kia,23,Petrol,Manual,8158,62065,2,2
277,Q5,2023,Audi,19,Diesel,Manual,11846,52679,3,2
278,Camry,2007,Toyota,10,Petrol,Manual,5744,177766,2,4
279,Civic,2010,Honda,16,Electric,Manual,6636,158154,4,3
280,Impala,2017,Chevrolet,13,Electric,Automatic,14158,52051,1,5
281,Camry,2007,Toyota,15,Diesel,Manual,10159,117049,5,4
282,Camry,2007,Toyota,18,Electric,Automatic,3971,271405,4,4
283,Sonata,2007,Hyundai,26,Hybrid,Semi-Automatic,5499,260006,3,3
284,RAV4,2005,Toyota,17,Petrol,Manual,4704,234785,1,2
285,Optima,2005,Kia,16,Electric,Automatic,7458,222076,4,2
286,Passat,2008,Volkswagen,18,Petrol,Manual,2603,194835,3,3
287,Focus,2004,Ford,20,Diesel,Automatic,8580,145970,2,3
288,Fiesta,2017,Ford,14,Hybrid,Automatic,10684,30785,3,2
289,Q5,2023,Audi,37,Diesel,Semi-Automatic,11156,57196,1,2
290,Sportage,2001,Kia,40,Diesel,Semi-Automatic,12786,50680,4,2
291,RAV4,2005,Toyota,47,Diesel,Semi-Automatic,4498,230052,3,2
292,Civic,2010,Honda,42,Petrol,Manual,8536,273193,4,3
293,Elantra,2004,Hyundai,44,Hybrid,Semi-Automatic,7010,169451,2,2
294,X5,2017,BMW,22,Electric,Automatic,10076,286174,5,3
295,Malibu,2012,Chevrolet,49,Diesel,Manual,5345,242712,4,2
296,Elantra,2004,Hyundai,34,Electric,Manual,9152,227371,5,2
297,Optima,2005,Kia,17,Diesel,Manual,4811,79442,2,2
298,Corolla,2010,Toyota,32,Petrol,Automatic,9702,29885,2,4
299,Tiguan,2006,Volkswagen,43,Diesel,Semi-Automatic,5570,261478,5,2
300,Optima,2005,Kia,12,Petrol,Automatic,6383,170847,4,2
301,X5,2017,BMW,41,Electric,Semi-Automatic,8755,87221,4,3
302,C-Class,2007,Mercedes,29,Petrol,Manual,6840,217980,4,5
303,Passat,2008,Volkswagen,41,Electric,Automatic,13274,71288,2,3
304,5 Series,2013,BMW,45,Diesel,Manual,11578,91092,1,2
305,Civic,2010,Honda,44,Petrol,Semi-Automatic,14001,24913,3,3
306,Sportage,2001,Kia,42,Hybrid,Semi-Automatic,6191,155444,5,2
307,E-Class,2004,Mercedes,25,Electric,Semi-Automatic,9366,171683,2,3
308,CR-V,2007,Honda,48,Diesel,Automatic,8991,295428,5,3
309,Golf,2003,Volkswagen,39,Petrol,Automatic,8352,207380,5,3
310,C-Class,2007,Mercedes,15,Electric,Automatic,10915,89226,5,5
311,3 Series,2017,BMW,46,Hybrid,Manual,8415,79217,4,5
312,E-Class,2004,Mercedes,33,Diesel,Automatic,5940,297971,3,3
313,Fiesta,2017,Ford,35,Diesel,Semi-Automatic,7321,178950,3,2
314,A3,2022,Audi,34,Electric,Automatic,13122,148880,5,5
315,Accord,2001,Honda,17,Petrol,Semi-Automatic,9221,23936,4,5
316,Q5,2023,Audi,21,Electric,Manual,7438,68076,1,2
317,Malibu,2012,Chevrolet,29,Diesel,Automatic,10105,144743,3,2
318,Rio,2020,Kia,44,Diesel,Semi-Automatic,10894,90279,5,3
319,A3,2022,Audi,25,Diesel,Semi-Automatic,10871,56429,1,5
320,A3,2022,Audi,29,Diesel,Automatic,12676,1197,5,5
321,C-Class,2007,Mercedes,19,Petrol,Automatic,9796,200177,2,5
322,Malibu,2012,Chevrolet,30,Diesel,Manual,13586,5679,4,2
323,3 Series,2017,BMW,33,Hybrid,Manual,11408,14586,1,5
324,Sportage,2001,Kia,36,Hybrid,Semi-Automatic,4955,202216,3,2
325,5 Series,2013,BMW,48,Petrol,Manual,4506,249673,1,2
326,Impala,2017,Chevrolet,17,Diesel,Manual,8316,39156,1,5
327,Golf,2003,Volkswagen,45,Electric,Semi-Automatic,12239,68014,2,3
328,Focus,2004,Ford,24,Petrol,Manual,6362,126868,3,3
329,E-Class,2004,Mercedes,30,Electric,Manual,6927,258632,5,3
330,Fiesta,2017,Ford,43,Hybrid,Semi-Automatic,11676,201170,5,2
331,A3,2022,Audi,29,Hybrid,Manual,13428,13569,3,5
332,3 Series,2017,BMW,21,Diesel,Semi-Automatic,8373,191301,1,5
333,Sportage,2001,Kia,44,Petrol,Semi-Automatic,5711,169424,3,2
334,X5,2017,BMW,29,Petrol,Manual,8739,63026,5,3
335,Malibu,2012,Chevrolet,48,Electric,Semi-Automatic,8287,145630,1,2
336,Q5,2023,Audi,37,Diesel,Automatic,9319,44024,4,2
337,Q5,2023,Audi,12,Electric,Manual,11441,122902,3,2
338,A3,2022,Audi,40,Electric,Semi-Automatic,11846,92692,2,5
339,Equinox,2018,Chevrolet,29,Petrol,Automatic,14052,22360,5,2
340,E-Class,2004,Mercedes,34,Diesel,Manual,11828,53596,1,3
341,Accord,2001,Honda,36,Electric,Semi-Automatic,8785,45737,1,5
342,Sportage,2001,Kia,30,Hybrid,Automatic,13636,98160,5,2
343,Impala,2017,Chevrolet,40,Petrol,Manual,8425,253702,4,5
344,Explorer,2006,Ford,15,Hybrid,Semi-Automatic,6505,94715,2,4
345,Passat,2008,Volkswagen,14,Diesel,Semi-Automatic,6963,1841,2,3
346,Optima,2005,Kia,16,Diesel,Semi-Automatic,9819,109050,5,2
347,5 Series,2013,BMW,44,Hybrid,Semi-Automatic,7162,236894,1,2
348,Corolla,2010,Toyota,44,Electric,Automatic,11666,256691,1,4
349,Explorer,2006,Ford,16,Hybrid,Semi-Automatic,3784,235768,2,4
350,C-Class,2007,Mercedes,44,Hybrid,Manual,8638,88089,3,5
351,CR-V,2007,Honda,38,Electric,Automatic,10295,160230,2,3
352,E-Class,2004,Mercedes,11,Diesel,Manual,2000,233776,3,3
353,Equinox,2018,Chevrolet,13,Hybrid,Semi-Automatic,8559,117006,5,2
354,Fiesta,2017,Ford,47,Diesel,Semi-Automatic,4392,295379,2,2
355,Impala,2017,Chevrolet,25,Hybrid,Manual,7311,299406,1,5
356,Explorer,2006,Ford,14,Petrol,Semi-Automatic,5156,182197,3,4
357,Tiguan,2006,Volkswagen,14,Electric,Semi-Automatic,7286,235687,2,2
358,Passat,2008,Volkswagen,16,Electric,Automatic,4833,293339,1,3
359,A3,2022,Audi,35,Diesel,Manual,8402,79861,1,5
360,C-Class,2007,Mercedes,19,Petrol,Semi-Automatic,6240,288000,5,5
361,Rio,2020,Kia,16,Diesel,Automatic,7882,295898,1,3
362,RAV4,2005,Toyota,25,Hybrid,Semi-Automatic,4314,239287,1,2
363,CR-V,2007,Honda,44,Petrol,Automatic,14648,7588,5,3
364,Tiguan,2006,Volkswagen,34,Diesel,Automatic,6557,152117,2,2
365,Sportage,2001,Kia,44,Petrol,Manual,10294,195296,4,2
366,Impala,2017,Chevrolet,44,Diesel,Automatic,7965,191716,3,5
367,CR-V,2007,Honda,36,Petrol,Manual,3091,230409,3,3
368,Civic,2010,Honda,11,Diesel,Automatic,8772,106397,2,3
369,Passat,2008,Volkswagen,37,Electric,Manual,5989,295514,4,3
370,Sportage,2001,Kia,31,Hybrid,Automatic,5347,232603,4,2
371,E-Class,2004,Mercedes,25,Diesel,Manual,6237,18150,5,3
372,Passat,2008,Volkswagen,18,Petrol,Automatic,2958,222084,3,3
